Year,COUNTY,MONTH,FEL_BEGINNING_CASELOAD,FEL_REC_COURT,FEL_REC_REINSTATED,FEL_REC_OTHER,FEL_RMVD_TERMINATED,FEL_RMVD_REVOKED,FEL_RMVD_OTHER,FEL_ENDING_CASELOAD,MISD_BEGINNING_CASELOAD,MISD_REC_COURT,MISD_REC_REINSTATED,MISD_REC_OTHER,MISD_RMVD_TERMINATED,MISD_RMVD_REVOKED,MISD_RMVD_OTHER,MISD_ENDING_CASELOAD,FEL_REC_TOTAL,FEL_RMVD_TOTAL,MISD_REC_TOTAL,MISD_RMVD_TOTAL,ALL_RMVD_OTHER,ALL_RMVD_REVOKED,ALL_RMVD_TERM,ALL_RMVD_TOTAL,ALL_REC_OTHER,ALL_REC_REINST,ALL_REC_COURT,ALL_REC_TOTAL
2003,Alameda County,January,14433,353,229,0,134,208,185,14488,2102,72,19,37,28,55,32,2115,582,527,128,115,217,263,162,642,37,248,425,710
2003,Alameda County,February,14488,328,227,0,135,193,150,14565,2115,113,19,0,39,34,34,2140,555,478,132,107,184,227,174,585,0,246,441,687
2003,Alameda County,March,14565,364,229,0,176,239,152,14591,2140,173,20,0,28,32,124,2149,593,567,193,184,276,271,204,751,0,249,537,786
2003,Alameda County,April,14591,355,191,0,151,205,89,14692,2149,151,11,19,19,25,29,2257,546,445,181,73,118,230,170,518,19,202,506,727
2003,Alameda County,May,14692,404,219,0,131,197,201,14786,2257,110,11,12,26,30,22,2312,623,529,133,78,223,227,157,607,12,230,514,756
2003,Alameda County,June,14786,320,194,0,126,188,121,14865,2312,53,19,28,24,37,12,2339,514,435,100,73,133,225,150,508,28,213,373,614
2003,Alameda County,July,14865,349,202,0,132,207,113,14964,2339,125,11,40,36,46,30,2403,551,452,176,112,143,253,168,564,40,213,474,727
2003,Alameda County,August,14964,348,228,0,202,188,208,14942,2403,79,9,0,29,23,102,2337,576,598,88,154,310,211,231,752,0,237,427,664
2003,Alameda County,September,14942,375,184,0,226,178,78,15019,2337,69,4,0,12,40,98,2260,559,482,73,150,176,218,238,632,0,188,444,632
2003,Alameda County,October,15019,386,203,0,169,165,143,15131,2260,74,12,0,17,39,68,2222,589,477,86,124,211,204,186,601,0,215,460,675
2003,Alameda County,November,15131,281,124,0,144,134,123,15135,2222,68,10,0,15,23,75,2187,405,401,78,113,198,157,159,514,0,134,349,483
2003,Alameda County,December,15135,363,221,0,207,150,156,15206,2187,41,7,0,12,32,125,2066,584,513,48,169,281,182,219,682,0,228,404,632
2003,Alpine County,January,39,0,1,0,0,0,0,40,52,3,0,0,2,2,1,50,1,0,3,5,1,2,2,5,0,1,3,4
2003,Alpine County,February,40,0,0,0,1,0,0,39,50,2,0,0,1,0,0,51,0,1,2,1,0,0,2,2,0,0,2,2
2003,Alpine County,March,39,1,0,0,1,1,0,38,51,0,2,0,0,0,0,53,1,2,2,0,0,1,1,2,0,2,1,3
2003,Alpine County,April,38,6,0,0,3,1,0,40,53,3,0,0,2,1,0,53,6,4,3,3,0,2,5,7,0,0,9,9
2003,Alpine County,May,39,1,1,0,0,1,0,40,52,1,0,0,0,1,0,52,2,1,1,1,0,2,0,2,0,1,2,3
2003,Alpine County,June,40,1,0,0,1,1,0,39,52,4,0,0,2,0,0,54,1,2,4,2,0,1,3,4,0,0,5,5
2003,Alpine County,July,39,0,0,0,2,0,0,37,54,3,1,0,1,2,0,55,0,2,4,3,0,2,3,5,0,1,3,4
2003,Alpine County,August,37,0,0,0,0,1,0,36,55,2,0,0,1,0,1,55,0,1,2,2,1,1,1,3,0,0,2,2
2003,Alpine County,September,36,1,0,0,2,2,0,33,55,3,1,0,3,0,0,56,1,4,4,3,0,2,5,7,0,1,4,5
2003,Alpine County,October,33,0,0,0,1,0,2,30,56,2,0,0,0,1,0,57,0,3,2,1,2,1,1,4,0,0,2,2
2003,Alpine County,November,30,0,0,0,2,0,0,28,57,3,0,0,3,0,0,57,0,2,3,3,0,0,5,5,0,0,3,3
2003,Alpine County,December,28,0,1,0,2,1,0,26,57,1,0,0,1,2,2,53,1,3,1,5,2,3,3,8,0,1,1,2
2003,Amador County,January,251,7,5,0,8,7,0,248,560,17,4,0,4,10,0,567,12,15,21,14,0,17,12,29,0,9,24,33
2003,Amador County,February,248,2,8,0,11,4,0,243,567,1,1,0,3,8,0,558,10,15,2,11,0,12,14,26,0,9,3,12
2003,Amador County,March,243,17,4,0,1,12,0,251,558,5,3,0,1,18,0,547,21,13,8,19,0,30,2,32,0,7,22,29
2003,Amador County,April,251,8,1,0,9,9,0,242,547,7,4,0,16,26,0,516,9,18,11,42,0,35,25,60,0,5,15,20
2003,Amador County,May,242,9,7,0,2,12,0,244,516,20,4,0,5,14,0,521,16,14,24,19,0,26,7,33,0,11,29,40
2003,Amador County,June,244,15,3,0,2,8,0,252,521,20,5,0,1,6,0,539,18,10,25,7,0,14,3,17,0,8,35,43
2003,Amador County,July,252,6,7,0,5,10,0,250,539,11,0,0,11,16,0,523,13,15,11,27,0,26,16,42,0,7,17,24
2003,Amador County,August,250,9,13,0,2,11,0,259,523,22,12,0,19,4,0,534,22,13,34,23,0,15,21,36,0,25,31,56
2003,Amador County,September,259,9,5,0,3,10,0,260,534,10,3,0,4,6,0,537,14,13,13,10,0,16,7,23,0,8,19,27
2003,Amador County,October,260,12,2,0,1,11,0,262,537,5,3,0,1,18,0,526,14,12,8,19,0,29,2,31,0,5,17,22
2003,Amador County,November,262,11,14,0,3,14,0,270,526,16,9,0,6,18,0,527,25,17,25,24,0,32,9,41,0,23,27,50
2003,Amador County,December,270,16,5,0,3,13,0,275,527,32,2,0,0,17,0,544,21,16,34,17,0,30,3,33,0,7,48,55
2003,Butte County,January,1037,43,7,0,26,24,0,1037,490,20,3,0,3,21,0,489,50,50,23,24,0,45,29,74,0,10,63,73
2003,Butte County,February,1037,29,8,0,26,20,0,1028,489,15,2,0,13,7,0,486,37,46,17,20,0,27,39,66,0,10,44,54
2003,Butte County,March,1028,65,9,0,17,22,0,1063,486,19,4,0,6,13,0,490,74,39,23,19,0,35,23,58,0,13,84,97
2003,Butte County,April,1063,51,11,0,18,23,0,1084,490,20,8,0,5,7,0,506,62,41,28,12,0,30,23,53,0,19,71,90
2003,Butte County,May,1084,47,12,0,19,18,0,1106,506,13,4,0,11,12,0,500,59,37,17,23,0,30,30,60,0,16,60,76
2003,Butte County,June,1106,38,12,0,30,25,0,1101,500,20,5,0,6,11,0,508,50,55,25,17,0,36,36,72,0,17,58,75
2003,Butte County,July,1101,49,14,0,9,29,0,1126,508,17,3,0,5,8,0,515,63,38,20,13,0,37,14,51,0,17,66,83
2003,Butte County,August,1126,25,9,0,33,31,0,1096,515,15,5,0,4,13,0,518,34,64,20,17,0,44,37,81,0,14,40,54
2003,Butte County,September,1096,44,8,0,17,46,0,1085,518,28,4,0,3,18,0,529,52,63,32,21,0,64,20,84,0,12,72,84
2003,Butte County,October,1085,42,13,0,19,27,0,1094,529,19,3,0,5,9,1,536,55,46,22,15,1,36,24,61,0,16,61,77
2003,Butte County,November,1094,38,15,0,12,29,2,1104,536,28,7,0,0,10,0,561,53,43,35,10,2,39,12,53,0,22,66,88
2003,Butte County,December,1104,43,13,0,8,27,0,1125,561,17,5,0,0,14,0,569,56,35,22,14,0,41,8,49,0,18,60,78
2003,Calaveras County,January,462,19,10,2,10,4,2,477,329,8,10,0,8,4,0,335,31,16,18,12,2,8,18,28,2,20,27,49
2003,Calaveras County,February,477,10,2,0,8,1,3,477,335,12,3,0,6,5,0,339,12,12,15,11,3,6,14,23,0,5,22,27
2003,Calaveras County,March,477,4,9,0,12,0,3,475,339,6,10,0,8,4,0,343,13,15,16,12,3,4,20,27,0,19,10,29
2003,Calaveras County,April,475,12,12,0,10,7,9,473,343,12,10,0,9,2,1,353,24,26,22,12,10,9,19,38,0,22,24,46
2003,Calaveras County,May,473,6,12,0,10,6,3,472,353,17,14,0,9,1,1,373,18,19,31,11,4,7,19,30,0,26,23,49
2003,Calaveras County,June,472,14,10,0,3,2,6,485,373,5,11,0,10,8,0,371,24,11,16,18,6,10,13,29,0,21,19,40
2003,Calaveras County,July,485,9,12,0,5,5,4,492,371,16,13,0,12,6,1,381,21,14,29,19,5,11,17,33,0,25,25,50
2003,Calaveras County,August,492,11,11,0,16,2,2,494,381,10,12,0,12,10,0,381,22,20,22,22,2,12,28,42,0,23,21,44
2003,Calaveras County,September,494,25,5,0,7,0,2,515,381,9,8,0,6,5,0,387,30,9,17,11,2,5,13,20,0,13,34,47
2003,Calaveras County,October,515,9,6,0,12,3,7,508,387,7,5,0,14,6,0,379,15,22,12,20,7,9,26,42,0,11,16,27
2003,Calaveras County,November,508,24,4,0,7,3,3,523,379,14,4,0,10,1,0,386,28,13,18,11,3,4,17,24,0,8,38,46
2003,Calaveras County,December,523,14,5,0,9,5,6,522,386,22,3,0,10,2,0,399,19,20,25,12,6,7,19,32,0,8,36,44
2003,Colusa County,January,224,2,0,0,6,10,1,209,136,4,0,0,0,3,0,137,2,17,4,3,1,13,6,20,0,0,6,6
2003,Colusa County,February,209,5,0,0,2,2,0,210,137,4,1,0,1,4,0,137,5,4,5,5,0,6,3,9,0,1,9,10
2003,Colusa County,March,210,5,1,0,2,10,1,203,137,6,2,0,4,6,1,134,6,13,8,11,2,16,6,24,0,3,11,14
2003,Colusa County,April,203,0,0,0,5,7,0,191,134,5,0,0,2,2,0,135,0,12,5,4,0,9,7,16,0,0,5,5
2003,Colusa County,May,191,6,1,0,3,2,0,193,135,13,0,0,1,4,0,143,7,5,13,5,0,6,4,10,0,1,19,20
2003,Colusa County,June,193,4,0,0,1,7,0,189,143,6,3,2,1,17,0,136,4,8,11,18,0,24,2,26,2,3,10,15
2003,Colusa County,July,189,3,0,0,1,7,0,184,136,4,1,0,1,3,2,135,3,8,5,6,2,10,2,14,0,1,7,8
2003,Colusa County,August,184,5,0,0,2,1,0,186,135,4,0,0,0,1,0,138,5,3,4,1,0,2,2,4,0,0,9,9
2003,Colusa County,September,186,4,0,0,4,1,3,182,138,5,1,0,1,1,0,142,4,8,6,2,3,2,5,10,0,1,9,10
2003,Colusa County,October,182,3,0,0,0,0,0,185,142,2,0,0,5,0,0,139,3,0,2,5,0,0,5,5,0,0,5,5
2003,Colusa County,November,185,2,0,1,0,0,0,188,139,2,0,0,0,0,0,141,3,0,2,0,0,0,0,0,1,0,4,5
2003,Colusa County,December,188,2,0,1,2,0,0,189,141,0,0,0,0,0,0,141,3,2,0,0,0,0,2,2,1,0,2,3
2003,Contra Costa County,January,3391,149,103,20,103,158,39,3363,0,0,0,0,0,0,0,0,272,300,0,0,39,158,103,300,20,103,149,272
2003,Contra Costa County,February,3363,142,147,21,99,126,48,3400,0,0,0,0,0,0,0,0,310,273,0,0,48,126,99,273,21,147,142,310
2003,Contra Costa County,March,3400,154,92,21,174,149,43,3301,0,0,0,0,0,0,0,0,267,366,0,0,43,149,174,366,21,92,154,267
2003,Contra Costa County,April,3301,129,88,18,74,153,36,3273,0,0,0,0,0,0,0,0,235,263,0,0,36,153,74,263,18,88,129,235
2003,Contra Costa County,May,3273,132,112,2,115,141,39,3224,0,0,0,0,0,0,0,0,246,295,0,0,39,141,115,295,2,112,132,246
2003,Contra Costa County,June,3224,166,111,21,136,152,46,3188,0,0,0,0,0,0,0,0,298,334,0,0,46,152,136,334,21,111,166,298
2003,Contra Costa County,July,3188,140,100,18,113,153,36,3144,0,0,0,0,0,0,0,0,258,302,0,0,36,153,113,302,18,100,140,258
2003,Contra Costa County,August,3144,125,136,30,80,127,33,3195,0,0,0,0,0,0,0,0,291,240,0,0,33,127,80,240,30,136,125,291
2003,Contra Costa County,September,3195,115,85,9,105,138,21,3140,0,0,0,0,0,0,0,0,209,264,0,0,21,138,105,264,9,85,115,209
2003,Contra Costa County,October,3140,143,78,19,91,156,33,3100,0,0,0,0,0,0,0,0,240,280,0,0,33,156,91,280,19,78,143,240
2003,Contra Costa County,November,3100,105,80,16,88,127,46,3040,0,0,0,0,0,0,0,0,201,261,0,0,46,127,88,261,16,80,105,201
2003,Contra Costa County,December,3040,109,93,7,107,133,55,2954,0,0,0,0,0,0,0,0,209,295,0,0,55,133,107,295,7,93,109,209
2003,Del Norte County,January,132,12,4,0,4,1,0,143,57,0,0,0,0,0,0,57,16,5,0,0,0,1,4,5,0,4,12,16
2003,Del Norte County,February,143,5,0,0,10,0,0,138,57,0,0,0,0,0,0,57,5,10,0,0,0,0,10,10,0,0,5,5
2003,Del Norte County,March,138,2,2,0,8,0,0,134,57,0,0,0,0,0,0,57,4,8,0,0,0,0,8,8,0,2,2,4
2003,Del Norte County,April,134,8,0,0,10,0,0,132,57,0,0,0,0,0,0,57,8,10,0,0,0,0,10,10,0,0,8,8
2003,Del Norte County,May,132,16,0,0,2,0,0,146,57,1,0,0,2,0,0,56,16,2,1,2,0,0,4,4,0,0,17,17
2003,Del Norte County,June,146,4,0,0,9,0,0,141,56,3,0,0,1,0,0,58,4,9,3,1,0,0,10,10,0,0,7,7
2003,Del Norte County,July,141,8,0,0,2,0,0,147,58,1,0,0,3,0,0,56,8,2,1,3,0,0,5,5,0,0,9,9
2003,Del Norte County,August,147,11,1,0,6,0,0,153,56,2,0,0,2,0,0,56,12,6,2,2,0,0,8,8,0,1,13,14
2003,Del Norte County,September,153,5,0,0,11,0,0,147,56,0,0,0,0,0,0,56,5,11,0,0,0,0,11,11,0,0,5,5
2003,Del Norte County,October,147,6,0,0,11,0,0,142,56,0,0,0,0,0,0,56,6,11,0,0,0,0,11,11,0,0,6,6
2003,Del Norte County,November,142,8,0,0,3,0,0,147,56,0,0,0,0,0,0,56,8,3,0,0,0,0,3,3,0,0,8,8
2003,Del Norte County,December,147,5,0,0,7,0,0,145,56,0,0,0,0,0,0,57,5,7,0,0,0,0,7,7,0,0,5,5
2003,El Dorado County,January,613,56,3,9,37,18,7,619,706,23,2,0,13,4,0,714,68,62,25,17,7,22,50,79,9,5,79,93
2003,El Dorado County,February,619,43,6,6,23,23,5,623,714,11,3,5,11,6,1,715,55,51,19,18,6,29,34,69,11,9,54,74
2003,El Dorado County,March,623,56,7,6,29,17,2,644,715,13,0,3,5,4,0,722,69,48,16,9,2,21,34,57,9,7,69,85
2003,El Dorado County,April,644,78,5,12,37,32,4,666,722,10,1,6,3,9,0,727,95,73,17,12,4,41,40,85,18,6,88,112
2003,El Dorado County,May,666,44,13,10,18,31,39,645,727,9,0,2,5,2,1,730,67,88,11,8,40,33,23,96,12,13,53,78
2003,El Dorado County,June,645,85,9,15,33,22,20,679,730,7,0,3,3,5,1,731,109,75,10,9,21,27,36,84,18,9,92,119
2003,El Dorado County,July,679,41,10,8,17,14,1,706,731,7,1,0,7,5,0,727,59,32,8,12,1,19,24,44,8,11,48,67
2003,El Dorado County,August,706,45,4,2,19,7,2,729,727,11,1,0,15,3,0,721,51,28,12,18,2,10,34,46,2,5,56,63
2003,El Dorado County,September,729,58,13,1,11,19,1,770,721,27,21,0,18,7,3,741,72,31,48,28,4,26,29,59,1,34,85,120
2003,El Dorado County,October,770,42,19,2,39,3,1,790,741,40,1,1,21,0,1,761,63,43,42,22,2,3,60,65,3,20,82,105
2003,El Dorado County,November,790,30,11,5,16,12,7,801,761,7,2,1,15,3,1,752,46,35,10,19,8,15,31,54,6,13,37,56
2003,El Dorado County,December,801,55,7,11,36,15,3,820,752,20,1,5,9,1,0,768,73,54,26,10,3,16,45,64,16,8,75,99
2003,Fresno County,January,8062,189,101,0,163,136,0,8053,3918,70,12,0,84,7,0,3909,290,299,82,91,0,143,247,390,0,113,259,372
2003,Fresno County,February,8053,157,126,0,257,193,0,7886,3909,80,75,0,131,16,0,3917,283,450,155,147,0,209,388,597,0,201,237,438
2003,Fresno County,March,7886,319,210,0,202,239,0,7974,3917,88,150,0,139,19,0,3997,529,441,238,158,0,258,341,599,0,360,407,767
2003,Fresno County,April,7974,359,164,0,399,290,2,7806,3997,98,58,2,93,260,0,3802,523,691,158,353,2,550,492,1044,2,222,457,681
2003,Fresno County,May,7806,417,133,0,213,216,0,7927,3802,88,40,0,88,50,0,3792,550,429,128,138,0,266,301,567,0,173,505,678
2003,Fresno County,June,7927,353,192,0,257,251,0,7964,3792,138,89,0,71,113,0,3835,545,508,227,184,0,364,328,692,0,281,491,772
2003,Fresno County,July,7964,256,153,0,239,255,0,7879,3835,126,80,0,144,76,0,3821,409,494,206,220,0,331,383,714,0,233,382,615
2003,Fresno County,August,7879,389,192,0,121,277,0,8062,3821,96,78,0,113,98,0,3784,581,398,174,211,0,375,234,609,0,270,485,755
2003,Fresno County,September,8062,318,190,0,247,278,0,8045,3784,146,81,0,144,84,0,3783,508,525,227,228,0,362,391,753,0,271,464,735
2003,Fresno County,October,8045,280,161,0,191,331,0,7964,3783,93,51,0,32,96,0,3799,441,522,144,128,0,427,223,650,0,212,373,585
2003,Fresno County,November,7964,175,119,0,134,181,1,7942,3799,77,50,0,89,72,0,3765,294,316,127,161,1,253,223,477,0,169,252,421
2003,Fresno County,December,7942,294,198,0,133,309,0,7992,3765,103,50,0,65,68,0,3785,492,442,153,133,0,377,198,575,0,248,397,645
2003,Glenn County,January,366,10,2,0,0,2,0,376,250,5,1,0,1,0,0,255,12,2,6,1,0,2,1,3,0,3,15,18
2003,Glenn County,February,376,11,2,0,5,0,0,384,255,6,1,0,8,0,0,254,13,5,7,8,0,0,13,13,0,3,17,20
2003,Glenn County,March,384,12,3,0,3,0,0,396,254,10,0,0,3,0,0,261,15,3,10,3,0,0,6,6,0,3,22,25
2003,Glenn County,April,396,14,2,0,4,0,0,408,261,13,0,0,3,0,0,271,16,4,13,3,0,0,7,7,0,2,27,29
2003,Glenn County,May,408,15,0,0,2,0,0,421,271,20,0,0,4,0,0,287,15,2,20,4,0,0,6,6,0,0,35,35
2003,Glenn County,June,421,24,0,0,21,0,0,424,287,9,0,0,13,0,0,283,24,21,9,13,0,0,34,34,0,0,33,33
2003,Glenn County,July,424,14,3,0,2,0,24,415,283,10,0,0,0,0,28,265,17,26,10,28,52,0,2,54,0,3,24,27
2003,Glenn County,August,415,18,4,0,25,0,0,412,265,5,6,0,22,0,0,254,22,25,11,22,0,0,47,47,0,10,23,33
2003,Glenn County,September,412,12,0,0,5,0,0,419,254,4,0,0,6,0,0,252,12,5,4,6,0,0,11,11,0,0,16,16
2003,Glenn County,October,419,16,0,0,4,3,0,428,252,4,0,0,2,2,0,252,16,7,4,4,0,5,6,11,0,0,20,20
2003,Glenn County,November,428,12,0,0,4,3,0,433,252,5,0,0,4,2,0,251,12,7,5,6,0,5,8,13,0,0,17,17
2003,Glenn County,December,433,18,4,0,3,0,0,452,251,10,6,0,2,0,0,265,22,3,16,2,0,0,5,5,0,10,28,38
2003,Humboldt County,January,1480,43,0,0,18,15,1,1489,87,1,0,0,4,1,1,82,43,34,1,6,2,16,22,40,0,0,44,44
2003,Humboldt County,February,1489,33,0,0,15,12,0,1495,82,0,0,0,1,0,1,80,33,27,0,2,1,12,16,29,0,0,33,33
2003,Humboldt County,March,1495,43,0,0,19,9,6,1504,80,2,0,0,3,0,0,79,43,34,2,3,6,9,22,37,0,0,45,45
2003,Humboldt County,April,1504,40,0,0,14,8,2,1520,79,0,0,0,1,0,0,78,40,24,0,1,2,8,15,25,0,0,40,40
2003,Humboldt County,May,1520,37,0,0,5,3,1,1548,78,0,0,0,0,0,0,78,37,9,0,0,1,3,5,9,0,0,37,37
2003,Humboldt County,June,1548,33,0,0,4,7,2,1568,78,0,0,0,0,0,0,78,33,13,0,0,2,7,4,13,0,0,33,33
2003,Humboldt County,July,1568,42,0,0,19,6,3,1582,78,1,0,0,2,1,0,76,42,28,1,3,3,7,21,31,0,0,43,43
2003,Humboldt County,August,1582,47,0,1,31,14,5,1580,76,0,0,0,2,0,0,74,48,50,0,2,5,14,33,52,1,0,47,48
2003,Humboldt County,September,1580,27,0,0,36,11,0,1560,74,1,0,0,4,0,0,71,27,47,1,4,0,11,40,51,0,0,28,28
2003,Humboldt County,October,1560,38,0,1,35,11,3,1550,71,2,0,0,0,0,0,73,39,49,2,0,3,11,35,49,1,0,40,41
2003,Humboldt County,November,1550,42,0,0,13,6,1,1572,73,1,0,0,1,0,0,73,42,20,1,1,1,6,14,21,0,0,43,43
2003,Humboldt County,December,1572,42,0,0,27,7,1,1579,73,1,0,0,5,0,0,69,42,35,1,5,1,7,32,40,0,0,43,43
2003,Imperial County,January,1434,12,11,0,15,16,0,1426,10,2,0,0,4,0,0,8,23,31,2,4,0,16,19,35,0,11,14,25
2003,Imperial County,February,1426,17,8,0,48,9,0,1394,8,8,0,0,8,0,0,8,25,57,8,8,0,9,56,65,0,8,25,33
2003,Imperial County,March,1394,7,9,0,7,11,0,1392,8,1,0,0,8,0,0,1,16,18,1,8,0,11,15,26,0,9,8,17
2003,Imperial County,April,1392,34,16,0,40,16,0,1386,1,4,0,0,1,0,0,4,50,56,4,1,0,16,41,57,0,16,38,54
2003,Imperial County,May,1386,27,15,0,40,11,0,1377,4,0,0,0,1,0,0,3,42,51,0,1,0,11,41,52,0,15,27,42
2003,Imperial County,June,1377,17,10,0,41,4,0,1359,3,1,0,0,2,0,0,2,27,45,1,2,0,4,43,47,0,10,18,28
2003,Imperial County,July,1359,33,4,0,146,5,0,1245,2,4,0,0,6,0,0,0,37,151,4,6,0,5,152,157,0,4,37,41
2003,Imperial County,August,1245,19,0,0,16,0,0,1248,0,3,0,0,3,0,0,0,19,16,3,3,0,0,19,19,0,0,22,22
2003,Imperial County,September,1248,25,5,0,63,2,0,1213,0,1,0,3,3,0,0,1,30,65,4,3,0,2,66,68,3,5,26,34
2003,Imperial County,October,1213,27,6,0,34,8,0,1204,1,2,0,1,1,0,0,3,33,42,3,1,0,8,35,43,1,6,29,36
2003,Imperial County,November,1204,8,4,0,31,5,0,1180,3,1,0,0,0,0,0,4,12,36,1,0,0,5,31,36,0,4,9,13
2003,Imperial County,December,1180,3,4,0,40,2,0,1145,4,1,0,4,4,0,0,5,7,42,5,4,0,2,44,46,4,4,4,12
2003,Inyo County,January,491,3,2,0,7,6,0,483,577,6,5,0,8,6,0,574,5,13,11,14,0,12,15,27,0,7,9,16
2003,Inyo County,February,483,15,4,0,6,6,2,488,574,8,6,0,11,8,1,568,19,14,14,20,3,14,17,34,0,10,23,33
2003,Inyo County,March,488,8,4,0,2,1,0,497,568,2,5,0,4,2,0,569,12,3,7,6,0,3,6,9,0,9,10,19
2003,Inyo County,April,497,11,8,0,5,4,0,507,569,13,4,0,11,7,0,568,19,9,17,18,0,11,16,27,0,12,24,36
2003,Inyo County,May,507,4,5,0,7,7,0,502,568,5,7,0,9,14,0,557,9,14,12,23,0,21,16,37,0,12,9,21
2003,Inyo County,June,502,11,3,0,15,4,0,497,557,11,10,0,18,15,3,542,14,19,21,36,3,19,33,55,0,13,22,35
2003,Inyo County,July,497,8,2,0,6,4,0,497,542,18,2,0,11,5,0,546,10,10,20,16,0,9,17,26,0,4,26,30
2003,Inyo County,August,497,13,1,0,3,2,0,506,546,19,3,0,6,9,0,553,14,5,22,15,0,11,9,20,0,4,32,36
2003,Inyo County,September,506,16,6,0,3,10,0,515,553,11,7,0,4,10,0,557,22,13,18,14,0,20,7,27,0,13,27,40
2003,Inyo County,October,515,6,1,0,5,1,0,516,557,12,2,0,7,2,0,562,7,6,14,9,0,3,12,15,0,3,18,21
2003,Inyo County,November,516,4,0,0,7,3,0,510,562,12,4,0,9,5,0,564,4,10,16,14,0,8,16,24,0,4,16,20
2003,Inyo County,December,510,5,3,0,6,3,2,507,564,7,1,0,6,1,0,565,8,11,8,7,2,4,12,18,0,4,12,16
2003,Kern County,January,6001,199,0,0,138,47,0,6015,809,53,0,0,28,5,0,829,199,185,53,33,0,52,166,218,0,0,252,252
2003,Kern County,February,6015,140,0,0,44,20,0,6091,829,28,0,0,5,8,0,844,140,64,28,13,0,28,49,77,0,0,168,168
2003,Kern County,March,6091,226,0,0,104,30,0,6183,844,19,0,0,21,0,0,842,226,134,19,21,0,30,125,155,0,0,245,245
2003,Kern County,April,6183,148,0,0,150,22,0,6159,842,22,0,0,4,3,0,857,148,172,22,7,0,25,154,179,0,0,170,170
2003,Kern County,May,6159,164,0,0,73,51,0,6199,857,20,0,0,22,15,0,840,164,124,20,37,0,66,95,161,0,0,184,184
2003,Kern County,June,6199,169,0,0,147,20,0,6201,840,96,0,0,2,3,0,931,169,167,96,5,0,23,149,172,0,0,265,265
2003,Kern County,July,6201,227,0,0,111,19,0,6298,931,30,0,0,48,7,0,906,227,130,30,55,0,26,159,185,0,0,257,257
2003,Kern County,August,6298,177,0,0,49,36,0,6390,906,15,0,0,38,22,0,861,177,85,15,60,0,58,87,145,0,0,192,192
2003,Kern County,September,6390,183,0,0,157,39,0,6377,861,44,0,0,59,11,0,835,183,196,44,70,0,50,216,266,0,0,227,227
2003,Kern County,October,6377,183,0,0,130,41,0,6389,835,27,0,0,29,16,0,817,183,171,27,45,0,57,159,216,0,0,210,210
2003,Kern County,November,6389,98,0,0,115,19,0,6353,817,50,0,0,21,7,0,839,98,134,50,28,0,26,136,162,0,0,148,148
2003,Kern County,December,6353,143,0,0,94,27,0,6375,839,12,0,0,59,5,0,787,143,121,12,64,0,32,153,185,0,0,155,155
2003,Kings County,January,723,9,0,0,7,0,0,725,1556,13,0,0,4,7,0,1558,9,7,13,11,0,7,11,18,0,0,22,22
2003,Kings County,February,725,6,0,0,4,3,0,724,1558,15,0,0,9,3,0,1561,6,7,15,12,0,6,13,19,0,0,21,21
2003,Kings County,March,724,3,0,0,6,4,0,717,1561,7,0,0,4,3,0,1561,3,10,7,7,0,7,10,17,0,0,10,10
2003,Kings County,April,717,5,0,0,3,0,0,719,1561,11,0,0,8,3,0,1561,5,3,11,11,0,3,11,14,0,0,16,16
2003,Kings County,May,719,9,0,0,6,5,0,717,1561,7,0,0,9,6,0,1553,9,11,7,15,0,11,15,26,0,0,16,16
2003,Kings County,June,717,4,0,0,5,2,0,714,1553,13,0,0,3,6,0,1557,4,7,13,9,0,8,8,16,0,0,17,17
2003,Kings County,July,714,7,0,0,2,3,0,716,1557,17,0,0,9,3,0,1562,7,5,17,12,0,6,11,17,0,0,24,24
2003,Kings County,August,716,5,0,0,0,3,0,718,1562,15,0,0,7,3,0,1567,5,3,15,10,0,6,7,13,0,0,20,20
2003,Kings County,September,718,9,0,0,3,2,0,722,1567,11,0,0,7,0,0,1571,9,5,11,7,0,2,10,12,0,0,20,20
2003,Kings County,October,722,8,0,0,4,3,0,723,1571,14,0,0,7,3,0,1575,8,7,14,10,0,6,11,17,0,0,22,22
2003,Kings County,November,723,11,0,0,2,4,0,728,1575,9,0,0,3,0,0,1581,11,6,9,3,0,4,5,9,0,0,20,20
2003,Kings County,December,728,6,0,0,0,0,0,734,1581,11,0,0,7,3,0,1582,6,0,11,10,0,3,7,10,0,0,17,17
